	Smiles String	agg
270	Cc1ccc(NC(=O)C(=O)c2c(C)[nH]c3ccccc23)cc1C	AGG
271	CCOc1ccccc1\C=C\2/N=C(OC2=O)c3cc(OC)cc(OC)c3	NONAGG
272	Fc1ccc(NC(=O)CSC2=Nc3c(sc4ccccc34)C(=O)N2CC5CCCO5)cc1	NONAGG
273	COc1ccc(OC)c(c1)[N+]2=C3SCCCN3C(O)(C2)c4ccc(cc4)[N+](=O)[O-]	NONAGG
274	COC(=O)c1ccc(N2CCc3ccccc23)c(c1)[N+](=O)[O-]	AGG
275	COc1ccc(CCNC(=O)CN2N=C(CCC2=O)c3ccc(Cl)cc3)cc1OC	NONAGG
277	COc1ccc(cc1)c2nnc3ccc(SCC(=O)Nc4ccccc4C)nn23	NONAGG
279	CCOc1cccc2C3NC(=S)NC(C)(Oc12)C3C(=O)Nc4ccc(C)cc4C	NONAGG
280	Cc1cccc(c1C)n2nc3CS(=O)(=O)Cc3c2NC(=O)c4cccc(Br)c4	NONAGG
282	COCCNC(=O)CCS(=O)(=O)Cc1cccc(Cl)c1	NONAGG
283	COc1ccc(cc1)n2cnc3cc(ccc23)C(=O)NCC4CCCO4	NONAGG
284	Fc1ccc(cc1)n2ncc3C(=O)N(CC(=O)N4CCN(CC4)c5ccccc5)C=Nc23	AGG
285	CCOc1cccc2C=C(C(=O)Nc3cccc(c3)C(F)(F)F)\C(=N\c4ccc(cc4)C(=O)O)\Oc12	AGG
286	CCN(CC)C(=O)CSC1=Nc2ccccc2C3=NC(Cc4c[nH]c5ccccc45)C(=O)N13	NONAGG
287	COCCNS(=O)(=O)c1ccc(Oc2ccc(cc2)S(=O)(=O)NCCOC)cc1	NONAGG
288	Cc1cc(C)c(c(C)c1)S(=O)(=O)NCc2ccc(cc2)C(=O)O	NONAGG
289	CCCCOc1ccc(cc1)C(C)NC(=O)C2CCCN(C2)S(=O)(=O)CCC	NONAGG
290	CCN(CC)CCCNC(=O)c1sc2ncnc(N(C)c3ccccc3)c2c1C	NONAGG
291	NS(=O)(=O)c1ccc(N\N=C(\c2ccccc2)/c3ccc(Br)cc3)cc1	AGG
292	COc1ccc(N2C(=O)N(CC(=O)NCc3ccc(C)cc3)c4ccccc4C2=O)c(OC)c1	NONAGG
293	CC1CN(CCN1c2cccc(C)c2)C(=O)CCN3C(=S)Nc4cc5OCOc5cc4C3=O	AGG
294	Cc1cccc(Nc2nc(C)nc3sc4CCCc4c23)c1	NONAGG
295	CCOc1ccc(NC(=O)CN2C(=O)C3(OCCCO3)c4ccccc24)cc1	NONAGG
296	COCCN(C(C)c1cccnc1)C(=S)Nc2cccc(OC)c2	NONAGG
